epoch,lr,train_loss
0,0.0001,0.04501493771870931
1,0.0001,0.032819817773997784
2,0.0001,0.029011713961760204
3,0.0001,0.02755479048937559
4,0.0001,0.02769818777839343
5,0.0001,0.027499907960494358
6,0.0001,0.027139791597922642
7,0.0001,0.027297549570600193
8,0.0001,0.026873868890106678
9,0.0001,0.026987611626585323
10,0.0001,0.02652325543264548
11,0.0001,0.026740077572564285
12,0.0001,0.026609584378699463
13,0.0001,0.02614847446481387
14,0.0001,0.02646543427060048
15,0.0001,0.02631448209285736
16,0.0001,0.026593029188613098
17,0.0001,0.026418964999417465
18,0.0001,0.025943681908150513
19,0.0001,0.025975026811162632
20,0.0001,0.02554455989350875
21,0.0001,0.025973721717794735
22,0.0001,0.025404291848341625
23,0.0001,0.02590895351022482
24,0.0001,0.025276551644007366
25,0.0001,0.025307450133065384
26,0.0001,0.025536938880880673
27,0.0001,0.02511648212869962
28,0.0001,0.025203143246471882
29,0.0001,0.024815004008511703
30,0.0001,0.024955955644448597
31,0.0001,0.024638039680818718
32,0.0001,0.024838488548994064
33,0.0001,0.02453360551347335
34,0.0001,0.024484789619843166
35,0.0001,0.024604178344209988
36,0.0001,0.02441792966177066
37,0.0001,0.024002805662651856
38,0.0001,0.024575987830758095
39,0.0001,0.02404339611530304
40,0.0001,0.02412693357716004
41,0.0001,0.02389092246691386
42,0.0001,0.024169069714844227
43,0.0001,0.02367174904793501
44,0.0001,0.02400964591652155
45,0.0001,0.02337771064291398
46,0.0001,0.02363748165468375
47,0.0001,0.023734044283628464
48,0.0001,0.023308181203901768
49,0.0001,0.023067900600532692
50,0.0001,0.023105911289652187
51,0.0001,0.023248867131769657
52,0.0001,0.02309528769304355
53,0.0001,0.022729622510572273
54,0.0001,0.023370673259099323
55,0.0001,0.022777908171216648
56,0.0001,0.022964571602642536
57,0.0001,0.022502473865946133
58,0.0001,0.023179547550777595
59,0.0001,0.02261169192691644
60,0.0001,0.022769319203992684
61,0.0001,0.022170226089656353
62,0.0001,0.022576988053818543
63,0.0001,0.022292824772497017
64,0.0001,0.022159591006735962
65,0.0001,0.0220525407542785
66,0.0001,0.021839216351509094
67,0.0001,0.0220510292177399
68,0.0001,0.021430231009920437
69,0.0001,0.0215367932493488
70,0.0001,0.021071088189880054
71,0.0001,0.02075237004707257
72,0.0001,0.020314904240270455
73,0.0001,0.020093252261479694
74,0.0001,0.019229711033403873
75,0.0001,0.018716593893865745
76,0.0001,0.018787688575685024
77,0.0001,0.01819354124988119
78,0.0001,0.017744765616953373
79,0.0001,0.01744551615168651
80,0.0001,0.017233191523700953
81,0.0001,0.017036507992694776
82,0.0001,0.016625723180671532
83,0.0001,0.015925537950048845
84,0.0001,0.0160482043089966
85,0.0001,0.014816802150259415
86,0.0001,0.0152684454806149
87,0.0001,0.014764622785151005
88,0.0001,0.014208404968182245
89,0.0001,0.01400806987658143
90,0.0001,0.013438511795053879
91,0.0001,0.013367890535543362
92,0.0001,0.01289716549217701
93,0.0001,0.012782834159831205
94,0.0001,0.012101873445014158
95,0.0001,0.013164563104510307
96,0.0001,0.013013594007740418
97,0.0001,0.012453570496290922
98,0.0001,0.01207414207359155
99,0.0001,0.012376584733525911
100,0.0001,0.01190956449136138
101,0.0001,0.012339704049130281
102,0.0001,0.011726112260172764
103,0.0001,0.011898051792134842
104,0.0001,0.011608235072344542
105,0.0001,0.011345413203040758
106,0.0001,0.011189725870887438
107,0.0001,0.016960463331391413
108,0.0001,0.014279646643747887
109,0.0001,0.011857928708195686
110,0.0001,0.010584387773027023
111,0.0001,0.010340581803272167
112,0.0001,0.009710826445370913
113,0.0001,0.009343001060187817
114,0.0001,0.009285453551759323
115,0.0001,0.008825468365103006
116,0.0001,0.009509268837670485
117,0.0001,0.008958034993459782
118,0.0001,0.008871580629299084
119,0.0001,0.008888679789379239
120,0.0001,0.008731086583187183
121,0.0001,0.00855066340106229
122,0.0001,0.008530193163702885
123,0.0001,0.008471673121675849
124,0.0001,0.008755433217932781
125,0.0001,0.00868609252696236
126,0.0001,0.008341731348385414
127,0.0001,0.008333878203605613
128,0.0001,0.008545328242083391
129,0.0001,0.008658026810735464
130,0.0001,0.00869790588816007
131,0.0001,0.008624190309395393
132,0.0001,0.008255197278534373
133,0.0001,0.008559402544051409
134,0.0001,0.00832215432698528
135,0.0001,0.008218489742527405
136,0.0001,0.008177889743819833
137,0.0001,0.008251955267041922
138,0.0001,0.008211781969293952
139,0.0001,0.008164592242489258
140,0.0001,0.007625650381669402
141,0.0001,0.008084561520566544
142,0.0001,0.00769178996173044
143,0.0001,0.007513330938915412
144,0.0001,0.007284731448938449
145,0.0001,0.007502714016785224
146,0.0001,0.00757578465466698
147,0.0001,0.007233482087031007
148,0.0001,0.007247975251326959
149,0.0001,0.007222580956295133
150,0.0001,0.007183080228666465
151,0.0001,0.007270551597078641
152,0.0001,0.007180899769688646
153,0.0001,0.007207464116315047
154,0.0001,0.007546314115946491
155,0.0001,0.007407402852550149
156,0.0001,0.007164664876957734
157,0.0001,0.007209020278727015
158,0.0001,0.007142214725414912
159,0.0001,0.007135969198619326
160,0.0001,0.006974804991235335
161,0.0001,0.006827932239199678
162,0.0001,0.007030991526941459
163,0.0001,0.006918654078617692
164,0.0001,0.006829445095111926
165,0.0001,0.006802310468629003
166,0.0001,0.006955707989012201
167,0.0001,0.006912429118528962
168,0.0001,0.006943128847827514
169,0.0001,0.006776146745930116
170,0.0001,0.006736906711012125
171,0.0001,0.007153798282767336
172,0.0001,0.006886942544952035
173,0.0001,0.00653824070468545
174,0.0001,0.006757781918471058
175,0.0001,0.006536821834743023
176,0.0001,0.006512331776320934
177,0.0001,0.006437338112543027
178,0.0001,0.00646567065268755
179,0.0001,0.006546742049977183
180,0.0001,0.006666013194868962
181,0.0001,0.0064913038319597645
182,0.0001,0.006361592561006546
183,0.0001,0.0064906582701951265
184,0.0001,0.006520537038644155
185,0.0001,0.0062240118471284704
186,0.0001,0.006427536175275843
187,0.0001,0.00642921426333487
188,0.0001,0.006442700047045946
189,0.0001,0.006604605199148257
190,0.0001,0.00636273071480294
191,0.0001,0.006329630423958103
192,0.0001,0.0065380127634853125
193,0.0001,0.006292671741296847
194,0.0001,0.0063971043564379215
195,0.0001,0.006319579513122638
196,0.0001,0.006469737117489179
197,0.0001,0.0061719991111507016
198,0.0001,0.006278514474009474
199,0.0001,0.006620595386872689
