Nome_Serie,Data_1,Data_2,Data_3,Data_4,Lat_Centro,Lon_Centro,EPSG
EMSR350_2_50KPC_x660015_y7734285_S1RTC,2018-02-08,2018-02-15,2018-03-23,2018-04-04,-20.494712047069132,118.54663920835642,EPSG:32750
EMSR279_4_30TXM_x611635_y4633105_S1RTC,2017-02-21,2017-03-12,2017-04-11,2017-04-17,41.830313204084455,-1.6402636587242214,EPSG:32631
EMSR203_3_15SVA_x447645_y4099745_S1RTC,NaN,2016-04-14,2016-05-08,2016-05-08,37.03104063363781,-93.57431783978662,EPSG:32615
EMSR444_2_35UMP_x402755_y5359705_S1RTC,2019-05-09,2019-06-06,2019-06-21,2019-06-26,48.37173801294441,25.704111442511472,EPSG:32635
EMSR416_1_30TXP_x651415_y4834755_S1RTC,2018-10-09,2018-11-27,2018-12-08,2019-01-13,43.63864270932156,-1.106988243765251,EPSG:32630
EMSR203_3_15SWA_x521455_y4084375_S1RTC,NaN,2016-04-14,2016-05-08,2016-05-08,36.89360399646205,-92.74489329012158,EPSG:32615
EMSR187_1_35TNL_x546265_y5063815_S1RTC,2015-08-29,2015-09-22,2015-10-08,2015-11-09,45.714781791052296,27.610824958076137,EPSG:32635
EMSR277_2_35TMF_x456125_y4573475_S1RTC,2017-01-25,2017-03-02,2017-03-26,2017-04-19,41.30012944620376,26.491155070621545,EPSG:32635
EMSR397_1_31TCG_x341115_y4619385_S1RTC,2018-09-04,2018-09-28,2018-10-22,2018-11-21,41.6991728172504,1.1058382891322722,EPSG:32630
EMSR645_6_38LRH_x813025_y8200745_S1RTC,2021-11-16,2022-01-03,2022-01-27,2022-01-27,-16.265191143341838,47.94042959657192,EPSG:32739
EMSR427_10_33VVC_x455495_y6283045_S1RTC,2018-12-24,2019-01-17,2019-03-01,2019-03-18,56.67803834825817,14.294444712452515,EPSG:32633
EMSR265_14_31UEQ_x522555_y5415395_S1RTC,2016-12-04,2017-01-06,2017-01-21,2017-02-14,48.87957712723541,3.325019655783213,EPSG:32631
EMSR774_1_15QTA_x228485_y2037415_S1RTC,2023-09-20,2023-10-14,2023-11-04,2023-11-19,18.3981411064334,-95.55786039760041,EPSG:32615
EMSR779_1_33PVM_x475315_y1163255_S1RTC,2023-09-18,2023-10-24,2023-11-17,2023-12-23,10.511548949320467,14.786053724101661,EPSG:32633
EMSR279_3_30TXM_x618985_y4676815_S1RTC,2017-02-09,2017-03-18,2017-04-11,2017-04-17,42.222784304736436,-1.5428151966792727,EPSG:32630
EMSR788_1_30TWT_x585815_y5289685_S1RTC,2023-12-04,2024-01-12,2024-01-24,2024-02-21,47.7431806685731,-1.8382499895243245,EPSG:32630
EMSR397_1_31TCG_x330875_y4606585_S1RTC,2018-09-04,2018-09-28,2018-10-22,2018-11-21,41.58185790032542,0.9864361471614116,EPSG:32630
EMSR200_12_56JNP_x513785_y6808485_S1RTC,2016-01-26,2016-02-26,2016-04-02,2016-04-26,-28.862755021316072,153.1544165929215,EPSG:32756
EMSR184_4_55HCC_x339535_y6250965_S1RTC,2015-07-28,2015-09-02,2015-10-01,2015-10-20,-33.88113607308905,145.27868404768273,EPSG:32755
EMSR347_6_36LXH_x683775_y8278755_S1RTC,2018-01-23,2018-02-28,2018-03-12,2018-03-24,-15.573611979936993,34.72573794500224,EPSG:32736
EMSR657_1_35UMB_x471625_y6191905_S1RTC,2022-01-24,2022-03-10,2022-04-01,2022-04-18,55.86042326983863,26.5670385833467,EPSG:32635
