epoch,lr,train_loss
0,0.0001,0.03485784916497259
1,0.0001,0.024634877974922594
2,0.0001,0.02271871294519424
3,0.0001,0.019938086166718983
4,0.0001,0.01918910676793242
5,0.0001,0.018512229950549595
6,0.0001,0.01804938836039992
7,0.0001,0.01792020985120704
8,0.0001,0.017833450308700056
9,0.0001,0.017748191938322024
10,0.0001,0.01765594151688493
11,0.0001,0.017609342387332035
12,0.0001,0.017550510949451606
13,0.0001,0.01747352701756849
14,0.0001,0.01746413756900274
15,0.0001,0.01741304088796236
16,0.0001,0.017361085882297737
17,0.0001,0.017332505340660363
18,0.0001,0.01729235862965481
19,0.0001,0.017256966985023773
20,0.0001,0.017225815272713836
21,0.0001,0.017202859277569687
22,0.0001,0.01720329417464739
23,0.0001,0.01716568410226373
24,0.0001,0.01713779431850466
25,0.0001,0.017120674495229273
26,0.0001,0.017108453654634984
27,0.0001,0.017092445744213525
28,0.0001,0.017076173034931703
29,0.0001,0.01705616329313571
30,0.0001,0.017056680275450917
31,0.0001,0.01705581309187539
32,0.0001,0.01705899397139
33,0.0001,0.0170209891530787
