Nome_Serie,Data_1_SAR,Data_2_SAR,Data_3_SAR,Data_4_SAR,Lat_Centro_SAR,Lon_Centro_SAR,EPSG_SAR,Data_1_OPT,Data_2_OPT,Data_3_OPT,Data_4_OPT,Lat_Centro_OPT,Lon_Centro_OPT,MGRS_Tile_OPT,EPSG_OPT
EMSR150_1_30UXE_x614855_y5973395,,,,,53.88451921419717,-1.2331638477938325,EPSG:32631,,,,,53.88451921419717,-1.2331638477938325,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5975955,,,,,53.90751772901871,-1.2321931183213568,EPSG:32631,,,,,53.90751772901871,-1.2321931183213568,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5978515,,,,,53.930516143173776,-1.2312210373628725,EPSG:32631,,,,,53.930516143173776,-1.2312210373628725,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5981075,,,,,53.9535144566625,-1.2302476023777988,EPSG:32631,,,,,53.9535144566625,-1.2302476023777988,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5983635,,,,,53.97651266948497,-1.2292728108190492,EPSG:32631,,,,,53.97651266948497,-1.2292728108190492,30UXE,EPSG:32630
EMSR150_1_30UXE_x614855_y5986195,,,,,53.9995107816413,-1.228296660133011,EPSG:32631,,,,,53.9995107816413,-1.228296660133011,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5973395,,,,,53.883939801829456,-1.1942363414429653,EPSG:32631,,,,,53.883939801829456,-1.1942363414429653,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5975955,,,,,53.90693783091531,-1.1932442525942089,EPSG:32631,,,,,53.90693783091531,-1.1932442525942089,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5978515,,,,,53.92993575880264,-1.1922507825684203,EPSG:32631,,,,,53.92993575880264,-1.1922507825684203,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5981075,,,,,53.95293358549049,-1.1912559287693398,EPSG:32631,,,,,53.95293358549049,-1.1912559287693398,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5983635,,,,,53.97593131097794,-1.1902596885940546,EPSG:32631,,,,,53.97593131097794,-1.1902596885940546,30UXE,EPSG:32630
EMSR150_1_30UXE_x617415_y5986195,,,,,53.99892893526405,-1.189262059432986,EPSG:32631,,,,,53.99892893526405,-1.189262059432986,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5973395,,,,,53.88334777155555,-1.1553102136783906,EPSG:32631,,,,,53.88334777155555,-1.1553102136783906,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5975955,,,,,53.90634530434174,-1.1542967680429843,EPSG:32631,,,,,53.90634530434174,-1.1542967680429843,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5978515,,,,,53.92934273538578,-1.153281911546154,EPSG:32631,,,,,53.92934273538578,-1.153281911546154,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5981075,,,,,53.952340064685664,-1.1522656415359736,EPSG:32631,,,,,53.952340064685664,-1.1522656415359736,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5983635,,,,,53.97533729223942,-1.1512479553537285,EPSG:32631,,,,,53.97533729223942,-1.1512479553537285,30UXE,EPSG:32630
EMSR150_1_30UXE_x619975_y5986195,,,,,53.99833441804503,-1.1502288503338949,EPSG:32631,,,,,53.99833441804503,-1.1502288503338949,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5975955,,,,,53.905740150305874,-1.115350694352058,EPSG:32631,,,,,53.905740150305874,-1.115350694352058,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5978515,,,,,53.92873707393284,-1.1143144540361047,EPSG:32631,,,,,53.92873707393284,-1.1143144540361047,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5981075,,,,,53.951733895259416,-1.1132767704735351,EPSG:32631,,,,,53.951733895259416,-1.1132767704735351,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5983635,,,,,53.974730614282535,-1.1122376409498542,EPSG:32631,,,,,53.974730614282535,-1.1122376409498542,30UXE,EPSG:32630
EMSR150_1_30UXE_x622535_y5986195,,,,,53.99772723099911,-1.1111970627436103,EPSG:32631,,,,,53.99772723099911,-1.1111970627436103,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5975955,,,,,53.90512236983704,-1.0764060611990318,EPSG:32631,,,,,53.90512236983704,-1.0764060611990318,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5978515,,,,,53.92811877547491,-1.0753484397715165,EPSG:32631,,,,,53.92811877547491,-1.0753484397715165,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5981075,,,,,53.951115078244605,-1.0742893453710511,EPSG:32631,,,,,53.951115078244605,-1.0742893453710511,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5983635,,,,,53.974111278141976,-1.0732287752273786,EPSG:32631,,,,,53.974111278141976,-1.0732287752273786,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5986195,,,,,53.9971073751628,-1.0721667265631476,EPSG:32631,,,,,53.9971073751628,-1.0721667265631476,30UXE,EPSG:32630
EMSR150_1_30UXE_x625095_y5988755,,,,,54.02010336930284,-1.0711031965938862,EPSG:32631,,,,,54.02010336930284,-1.0711031965938862,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5975955,,,,,53.90449196398594,-1.0374628982545984,EPSG:32631,,,,,53.90449196398594,-1.0374628982545984,30UXE,EPSG:32630
EMSR150_1_30UXE_x627655_y5978515,,,,,53.927487841064526,-1.0363838984786995,EPSG:32631,,,,,53.927487841064526,-1.0363838984786995,30UXE,EPSG:32630
